name,last_update,state,report_link,snowfall_amount,last_snowfall,base_depth,main_surface,open_trails,total_trails,open_lifts,total_lifts
Alta Ski Area,8 hours ago,Utah,https://www.onthesnow.com/utah/alta-ski-area/skireport,2,2022-02-21 20:22:15.564316,"84-84""",Packed Powder ,98,119,5,6
Arapahoe Basin Ski Area,10 hours ago,Colorado,https://www.onthesnow.com/colorado/arapahoe-basin-ski-area/skireport,2,2022-02-17 00:00:00.000000,"52-52""",Packed Powder ,136,147,9,9
Aspen Snowmass,14 hours ago,Colorado,https://www.onthesnow.com/colorado/aspen-snowmass/skireport,11,2022-02-17 00:00:00.000000,"41-65""",Packed Powder ,333,336,39,40
Bear Mountain,9 hours ago,California,https://www.onthesnow.com/california/bear-mountain/skireport,4,2022-02-16 00:00:00.000000,"42-60""",Machine Groomed ,15,15,8,12
Big Sky,12 hours ago,Montana,https://www.onthesnow.com/montana/big-sky-resort/skireport,4,2022-02-21 20:22:15.579641,"29-57""",Packed Powder ,295,317,32,36
Blue Mountain,11 hours ago,Ontario,https://www.onthesnow.com/ontario/blue-mountain/skireport,2,2022-02-20 20:22:15.580006,"39-39""",Machine Groomed ,43,55,11,11
Boyne Mountain Resort,11 hours ago,Michigan,https://www.onthesnow.com/michigan/boyne-mountain-resort/skireport,3,2022-02-19 00:00:00.000000,"40-40""",Machine Groomed ,60,60,12,12
Brighton Resort,10 hours ago,Utah,https://www.onthesnow.com/utah/brighton-resort/skireport,1,2022-02-21 20:22:15.580779,"67-67""",Machine Groomed ,65,66,7,7
Copper Mountain,13 hours ago,Colorado,https://www.onthesnow.com/colorado/copper-mountain-resort/skireport,5,2022-02-17 00:00:00.000000,"47-63""",Machine Groomed ,150,150,24,24
Crystal Mountain,9 hours ago,Washington,https://www.onthesnow.com/washington/crystal-mountain-wa/skireport,7,2022-02-21 20:22:15.581666,"67-84""",Powder ,83,86,9,11
Cypress Mountain,9 hours ago,British Columbia,https://www.onthesnow.com/british-columbia/cypress-mountain/skireport,4,2022-02-20 20:22:15.582028,"102-102""",Machine Groomed ,53,61,6,6
Deer Valley Resort,13 hours ago,Utah,https://www.onthesnow.com/utah/deer-valley-resort/skireport,1,2022-02-21 20:22:15.582397,"46-46""",Packed Powder ,103,103,21,21
Eldora Mountain Resort,12 hours ago,Colorado,https://www.onthesnow.com/colorado/eldora-mountain-resort/skireport,4,2022-02-17 00:00:00.000000,"30-30""",Machine Groomed ,59,61,10,10
Jackson Hole,12 hours ago,Wyoming,https://www.onthesnow.com/wyoming/jackson-hole/skireport,12,2022-02-21 20:22:15.583975,"25-71""",Powder ,125,131,13,13
June Mountain,8 hours ago,California,https://www.onthesnow.com/california/june-mountain/skireport,81,2021-12-31 00:00:00.000000,"12-52""",Machine Groomed ,41,43,6,7
Killington Resort,1 day ago,Vermont,https://www.onthesnow.com/vermont/killington-resort/skireport,3,2022-02-20 20:22:15.586432,"28-32""",Machine Groomed ,96,155,20,22
Lake Louise,13 hours ago,Alberta,https://www.onthesnow.com/alberta/lake-louise/skireport,1,2022-02-20 20:22:15.587141,"61-89""",Packed Powder ,160,160,10,10
Loon Mountain,13 hours ago,New Hampshire,https://www.onthesnow.com/new-hampshire/loon-mountain/skireport,2,2022-02-20 20:22:15.587814,"32-41""",Machine Groomed ,48,61,9,10
Mammoth Mountain,9 hours ago,California,https://www.onthesnow.com/california/mammoth-mountain-ski-area/skireport,3,2021-12-30 00:00:00.000000,"66-128""",Variable Conditions ,150,150,24,25
Mt. Bachelor,9 hours ago,Oregon,https://www.onthesnow.com/oregon/mt-bachelor/skireport,6,2022-02-21 20:22:15.589211,"69-69""",Machine Groomed ,118,119,11,15
Mt. Norquay,10 hours ago,Alberta,https://www.onthesnow.com/alberta/ski-banff-norquay/skireport,3,2022-02-20 20:22:15.589877,"46-46""",Machine Groomed ,56,60,6,6
Palisades Tahoe,11 hours ago,California,https://www.onthesnow.com/california/squaw-valley-usa/skireport,2,2022-02-15 00:00:00.000000,"42""",Machine Groomed ,204,245,31,34
Revelstoke,9 hours ago,British Columbia,https://www.onthesnow.com/british-columbia/revelstoke-mountain/skireport,6,2022-02-21 20:22:15.596175,"102-102""",Machine Groomed ,42,59,5,6
Snow Summit,9 hours ago,California,https://www.onthesnow.com/california/snow-summit/skireport,4,2022-02-16 00:00:00.000000,"42-60""",Machine Groomed ,26,27,9,16
